"Name","Distance (LY)"
"2MASS J05344845-0531072","6.40815520450309"
"V2150 Orionis","6.46391727689178"
"V1424 Orionis","6.59026863071605"
"2MASS J05342073-0532351","6.63619337421688"
"2MASS J05345483-0525125","6.77836920376133"
"H97b 326","6.84888505981083"
"MN Orionis","6.99958146070178"
"OW Orionis","7.01539879924869"
"V2132 Orionis","7.02068650934508"
"Oort","7.02089515304138"
"2MASS J05351986-0530321","7.0257617469567"
"H97b 20397","7.02749899946631"
"V2027 Orionis","7.05156786643935"
"II Orionis","7.06927219556582"
"2MASS J05350744-0526401","7.07893552202589"
"V2181 Orionis","7.16988330187459"
"2MASS J05341387-0536353","7.1878396658871"
"PMD2009 48","7.24474486265735"
"2MASS J05353361-0528506","7.25578971408351"
"V1332 Orionis","7.27205696484839"
"V405 Orionis","7.36260876405232"
"2MASS J05351743-0530253","7.37963307861577"
"V2543 Orionis","7.48866330695939"
"V1334 Orionis","7.59490731921727"
"2MASS J05344000-0526040","7.62813716201406"
"2MASS J05351794-0525338","7.64706081200483"
"Titov","7.65376235096178"
"V2316 Orionis","7.69010372573088"
"Parenago 1801","7.75610898340785"
"V2202 Orionis","7.81137491898833"
"2MASS J05353421-0527183","7.84997263132172"
"JW 285","7.94057519169739"
"V1944 Orionis","8.05680515930477"
"2MASS J05354261-0526083","8.13731038565569"
"2MASS J05350676-0551014","8.17681793624513"
"2MASS J05352072-0526157","8.1997761021262"
"H97b 20257","8.28466910549239"
"V1518 Orionis","8.33836436673884"
"V1475 Orionis","8.38513845294161"
"V2424 Orionis","8.42690306770524"
"2MASS J05351924-0547012","8.47295790294039"
"V1538 Orionis","8.48470590975315"
"V1323 Orionis","8.60260907007287"
"2MASS J05345714-0533294","8.60521961878371"
"V2622 Orionis","8.6564756288284"
"2MASS J05345903-0537507","8.71516503357796"
"2MASS J05333913-0533108","8.73866453255302"
"2MASS J05351743-0530253","8.791753060397"
"2MASS J05353175-0516399","8.80013538603242"
"V2286 Orionis","8.80152241802519"
"2MASS J05345236-0525006","8.82528992087512"
"2MASS J05360927-0524130","8.85654992434977"
"2MASS J05344162-0523574","8.86079408828577"
"2MASS J05352219-0526373","8.94345299996036"
"V1590 Orionis","9.01133184177012"
"V2136 Orionis","9.03741139306494"
"Mitchell","9.06804787082093"
"V2338 Orionis","9.08413366122494"
"2MASS J05344881-0533330","9.18489546415744"
"V1480 Orionis","9.22595057771827"
"V2574 Orionis","9.24519512030438"
"V1529 Orionis","9.396953462426"
"V2166 Orionis","9.41315153787508"
"2MASS J05351433-0525156","9.42766457692466"
"V2378 Orionis","9.43698260171121"
"2MASS J05352219-0526373","9.43801736992468"
"V2459 Orionis","9.50452195010354"
"V2522 Orionis","9.504830186542"
"2MASS J05351165-0524213","9.52187038480361"
"V1438 Orionis","9.61906269797115"
"V391 Orionis","9.65119204101234"
"V387 Orionis","9.66014282373713"
"V551 Orionis","9.66014282373713"
"Parenago 1897","9.68860880751205"
"2MASS J05345931-0523326","9.70452133672754"
"V1460 Orionis","9.75405564688351"
"2MASS J05343203-0511248","9.76481246619719"
"V951 Orionis","9.76651245967567"
"2MASS J05350518-0526036","9.76886196352984"
"2MASS J05351091-0522463","9.81339565976018"
"2MASS J05351117-0519358","9.8726757549562"
"2MASS J05345827-0525332","9.87821348030604"
"V2485 Orionis","9.88028932711487"
"IV Orionis","9.95482962247471"
"PMD2009 50","9.95870379366712"
"XY Orionis","10.0004882693297"
"2MASS J05351541-0524115","10.0448214269842"
"V2289 Orionis","10.1182944616422"
"AB Orionis","10.1182944616422"
"2MASS J05350054-0548591","10.1443199162142"
"2MASS J05345226-0512032","10.1464375675653"
"V1482 Orionis","10.148554777036"
"2MASS J05353070-0518071","10.151681664877"
"2MASS J05343505-0537005","10.1632187630199"
"2MASS J05345583-0519454","10.1852470668364"
"V1546 Orionis","10.1889377819771"
"V2663 Orionis","10.2310228288769"
"H97b 20071","10.2658509297817"
"V570 Orionis","10.3139676985872"
"Laplace","10.3213030609027"
"2MASS J05351715-0526456","10.4168020824531"
"2MASS J05353242-0514247","10.4233624313366"
"KO Orionis","10.454000804118"
"2MASS J05332332-0521531","10.4596042139509"
"* tet02 Orionis C","10.4860398268364"
"V947 Orionis","10.4922311289115"
"Parenago 1158","10.5296271004723"
"2MASS J05354452-0536331","10.5442705117519"
"2MASS J05351061-0601448","10.6014905349437"
"2MASS J05344828-0532351","10.6491453589009"
"V553 Orionis","10.6692094950844"
"Parenago 1423","10.6987787708458"
"Eratosthenes","10.7691054787526"
"2MASS J05361479-0545571","10.7722335485729"
"V2516 Orionis","10.7903946724622"
"2MASS J05342857-0530325","10.9060261438344"
"2MASS J05351713-0512394","10.9301761193496"
"V1344 Orionis","10.9559219859627"
"V2523 Orionis","10.9903188932351"
"V426 Orionis","10.9944055375905"
"2MASS J05345439-0517211","11.0981505356749"
"2MASS J05354783-0513177","11.0983265208093"
"2MASS J05363682-0534190","11.1159548903817"
"NY Orionis","11.1267554794738"
"2MASS J05363992-0525128","11.1587444690252"
"2MASS J05333120-0529576","11.1934778023856"
"2MASS J05351047-0526003","11.2160512074214"
"2MASS J05351460-0524428","11.2198380391608"
"2MASS J05352564-0507573","11.2773106002717"
"2MASS J05350039-0509441","11.3049439544166"
"Parenago 1928","11.396399856424"
"2MASS J05352016-0534572","11.4013259919625"
"V1397 Orionis","11.4372011572981"
"BZ Orionis","11.4709636828167"
"2MASS J05351965-0533013","11.5114158691492"
"2MASS J05354511-0601069","11.5607684514266"
"V1432 Orionis","11.568284026272"
"2MASS J05351754-0525427","11.5968661580403"
"2MASS J05353091-0518179","11.6062096122076"
"V1979 Orionis","11.6474078393006"
"V1413 Orionis","11.653233523898"
"JW 865","11.662741155063"
"2MASS J05342753-0528284","11.7397312176429"
"2MASS J05350770-0524527","11.7424343994335"
"2MASS J05350642-0527048","11.7539056009056"
"V935 Orionis","11.7593878720365"
"H97b 20243","11.7709669977662"
"2MASS J05343568-0535520","11.7733312246365"
"H97b 9238","11.7733726980632"
"V2600 Orionis","11.8140293322177"
"KR Orionis","11.8846178156893"
"V1516 Orionis","11.8902040825631"
"2MASS J05355535-0547017","11.9269423208549"
"2MASS J05350270-0532249","11.9431024157252"
"V2446 Orionis","11.9590365283956"
"H97b 9199","11.961118650653"
"2MASS J05362624-0516538","12.0083792359752"
"2MASS J05350101-0524103","12.0094770519994"
"2MASS J05362130-0520141","12.0124447189155"
"Lowell","12.0562645800845"
"V1471 Orionis","12.0570745570806"
"V2630 Orionis","12.0745567982846"
"V768 Orionis","12.0842178196398"
"2MASS J05351194-0529327","12.0913272767095"
"2MASS J05342123-0535347","12.1490177715114"
"2MASS J05351950-0521045","12.156611498481"
"ZZ Orionis","12.1755550438163"
"V480 Orionis","12.1817294030856"
"2MASS J05362690-0525055","12.2360012488762"
"2MASS J05343937-0501467","12.2392331510189"
"H97b 748a","12.2634253600901"
"2MASS J05343417-0505170","12.2711870350834"
"V488 Orionis","12.2721817666012"
"2MASS J05361901-0518286","12.2938469111584"
"2MASS J05363993-0521231","12.3217367003398"
"2MASS J05343923-0550565","12.4098310322905"
"Wilson","12.4128209928283"
"2MASS J05350518-0526036","12.4267384347221"
"2MASS J05362890-0514434","12.4960540646838"
"V1994 Orionis","12.5099179403783"
"V1129 Orionis","12.5310941386816"
"V2082 Orionis","12.5463593449454"
"2MASS J05350766-0606541","12.6257348177245"
"Labyrinth","12.6364814747817"
"V1607 Orionis","12.6369837926224"
"V2271 Orionis","12.7559345869873"
"2MASS J05350148-0511041","12.7817466284933"
"2MASS J05353357-0602203","12.8168437758678"
"V2389 Orionis","12.8407082772914"
"2MASS J05345284-0533483","12.8609601847996"
"V495 Orionis","12.9597483820096"
"V2218 Orionis","12.9661895062698"
"V2430 Orionis","12.9890654133583"
"2MASS J05341346-0555417","13.0071344605566"
"V2234 Orionis","13.0237913306763"
"V1044 Orionis","13.0631354510508"
"V1322 Orionis","13.063621363351"
"2MASS J05355597-0542262","13.107540470565"
"2MASS J05351809-0515461","13.1305791713466"
"V1462 Orionis","13.1513871654286"
"Haro 4-377","13.1554705826132"
"2MASS J05345439-0517211","13.1875"
"V981 Orionis","13.1912020869972"
"V1289 Orionis","13.262413112345"
"Lagrange","13.3116930506604"
"V1345 Orionis","13.3159839924618"
"V1494 Orionis","13.3251480409225"
"2MASS J05362819-0524176","13.379416618915"
"2MASS J05344589-0548123","13.3967040606076"
"2MASS J05364005-0512231","13.4062864218619"
"IZ Orionis","13.407706797305"
"2MASS J05341730-0522480","13.4493044081283"
"V2445 Orionis","13.4947182955036"
"V1017 Orionis","13.5139178835192"
"V1170 Orionis","13.5371306505478"
"2MASS J05351463-0516461","13.546902032845"
"2MASS J05350406-0548540","13.622634542371"
"2MASS J05351110-0600216","13.6464137917256"
"YZ Orionis","13.6712946305388"
"2MASS J05361988-0556082","13.6744015522618"
"2MASS J05363356-0551121","13.7418654915372"
"Garnow","13.7455958855919"
"2MASS J05360276-0515269","13.7550061909292"
"2MASS J05351986-0530321","13.7691982450867"
"2MASS J05351797-0530315","13.8159285903084"
"2MASS J05354416-0536397","13.8203456224872"
"2MASS J05343894-0557536","13.8992257540663"
"Cassini","13.9308420195981"
"Halley","14.0376864413264"
"2MASS J05351466-0508520","14.059791405814"
"2MASS J05351083-0525569","14.0698938895253"
"V2003 Orionis","14.084288675684"
"2MASS J05342764-0457051","14.0962788751145"
"2MASS J05345737-0514334","14.119295031534"
"V1320 Orionis","14.1444832443607"
"2MASS J05334174-0510346","14.1595953552706"
"V2005 Orionis","14.1675934133148"
"V1958 Orionis","14.2188186811528"
"2MASS J05354379-0509588","14.225479176903"
"2MASS J05351624-0528337","14.2313817516958"
"V1571 Orionis","14.2747865570733"
"V1544 Orionis","14.37258811288"
"2MASS J05364270-0534119","14.4342190536066"
"2MASS J05352696-0510173","14.4698298733088"
"2MASS J05345343-0510279","14.4730690098023"
"H97b 583","14.4808939317468"
"V1473 Orionis","14.5635393942372"
"Feoktistov","14.5662213592785"
"2MASS J05355466-0522007","14.6188889476082"
"KN Orionis","14.7878552894766"
"V1434 Orionis","14.8022775907966"
"2MASS J05370904-0517120","14.8526946734423"
"V2162 Orionis","14.9880160461617"
"V2243 Orionis","15.0250766948958"
"V2581 Orionis","15.034692952884"
"2MASS J05350182-0530193","15.0710556614326"
"2MASS J05344878-0517464","15.0769186693601"
"V1674 Orionis","15.1072015629136"
"2MASS J05345330-0554052","15.1100132362616"
"2MASS J05344796-0531572","15.1174115777966"
"2MASS J05351471-0502274","15.1300675911412"
"V2164 Orionis","15.1730255099304"
"Walker","15.1811007608968"
"V2019 Orionis","15.2482388839662"
"V1018 Orionis","15.2567223912936"
"2MASS J05351589-0524175","15.2713413683114"
"Popovich","15.2916311875156"
"V2135 Orionis","15.3048769290217"
"2MASS J05342792-0526346","15.3324168940353"
"V1602 Orionis","15.3433044741835"
"V1415 Orionis","15.3492543589257"
"2MASS J05360565-0552130","15.3678209865615"
"2MASS J05361337-0502229","15.4524535369792"
"2MASS J05360335-0457404","15.5526135765826"
"V2636 Orionis","15.59400049899"
"V1721 Orionis","15.6418971136017"
"V1744 Orionis","15.6495744251242"
"2MASS J05353156-0516369","15.7133129264646"
"2MASS J05352047-0529110","15.7449768775632"
"2MASS J05345506-0525294","15.8371226277061"
"AN Orionis","15.9011227001429"
"V354 Orionis","15.9023509464796"
"V1745 Orionis","15.904561550857"
"2MASS J05353834-0528346","15.907938269933"
"V1678 Orionis","15.9214686528128"
"MZ Orionis","15.9261295223447"
"V2256 Orionis","15.9803040392697"
"2MASS J05350947-0459413","16.038406053907"
"V1997 Orionis","16.0405065868413"
"V1275 Orionis","16.0463805303564"
"V2362 Orionis","16.0796965339835"
"V2224 Orionis","16.0817309488904"
"2MASS J05351829-0528461","16.0954489394518"
"2MASS J05333076-0513520","16.1458501343999"
"V1951 Orionis","16.1465759237833"
"2MASS J05333100-0606056","16.1468178463281"
"Brahmagupta","16.1520183046113"
"2MASS J05352184-0522082","16.1707804581288"
"2MASS J05344286-0525163","16.1970591948816"
"V1592 Orionis","16.2056486101297"
"2MASS J05351162-0519122","16.2328034008301"
"V984 Orionis","16.2739607003028"
"V2109 Orionis","16.2770808001619"
"H97b 67","16.2909639927323"
"V1474 Orionis","16.3174082654078"
"2MASS J05341525-0504517","16.3679314419233"
"2MASS J05353801-0452295","16.4088688386037"
"2MASS J05344286-0525163","16.4248109292771"
"2MASS J05365917-0534254","16.4809608431214"
"2MASS J05351676-0517167","16.4876255681344"
"V2356 Orionis","16.5003255176224"
"2MASS J05351165-0531011","16.5230367120424"
"2MASS J05353063-0515162","16.6140118762748"
"V2573 Orionis","16.6199181612756"
"Galle","16.6244713261806"
"V2302 Orionis","16.6773728634039"
"V493 Orionis","16.7150989003954"
"V1746 Orionis","16.767714513314"
"2MASS J05350825-0529121","16.7810754180863"
"2MASS J05352845-0451549","16.8017798071365"
"2MASS J05355381-0457141","16.8660277073471"
"V765 Orionis","16.867504122202"
"V2509 Orionis","16.9345304131086"
"2MASS J05363685-0609550","16.9450513609431"
"V1931 Orionis","16.9550762125978"
"AF Orionis","16.9588771923438"
"Eisele","16.9655844192736"
"Tycho","16.9806012941974"
"V2366 Orionis","17.0006031602558"
"V1719 Orionis","17.0452923761225"
"Yngvi-Freyr","17.1187545637088"
"2MASS J05353242-0514247","17.1220914500828"
"V1718 Orionis","17.1385951965877"
"V2182 Orionis","17.1594088621957"
"2MASS J05353812-0528336","17.1853975986883"
"2MASS J05351450-0529032","17.1969860186313"
"2MASS J05351039-0530078","17.2644301057116"
"V2680 Orionis","17.2761068295927"
"Parenago 1754","17.2833407415204"
"V1441 Orionis","17.3054193552916"
"V2438 Orionis","17.359564861698"
"V2274 Orionis","17.360380540184"
"EZ Orionis","17.3705592346648"
"BX Orionis","17.3863216261376"
"2MASS J05361584-0614507","17.4060536344399"
"2MASS J05350638-0619486","17.4625436202032"
"V1512 Orionis","17.5076434200894"
"V470 Orionis","17.5187678380216"
"V1578 Orionis","17.5194367507206"
"V2436 Orionis","17.5825341692402"
"V1903 Orionis","17.584422483053"
"V2590 Orionis","17.5888647746948"
"V1600 Orionis","17.6597894682383"
"V415 Orionis","17.7087162948786"
"2MASS J05354877-0609071","17.7949474921956"
"V1500 Orionis","17.8159262055752"
"Parenago 1711","17.8524223671467"
"HY Orionis","17.8837937285409"
"2MASS J05342893-0508384","17.904641070823"
"Parenago 1275","17.9138836259059"
"2MASS J05344874-0611427","17.9157097612682"
"PMD2009 101","17.9558921387939"
"2MASS J05352194-0517043","17.9744556158872"
"2MASS J05345276-0500509","17.9804852983033"
"V1572 Orionis","18.0656355409933"
"V775 Orionis","18.1062672592255"
"V2519 Orionis","18.1123339364368"
"2MASS J05351029-0532372","18.1217938974733"
"V2171 Orionis","18.1347226078179"
"V1519 Orionis","18.1449243936149"
"V489 Orionis","18.1459469475969"
"2MASS J05334780-0455036","18.1523769535149"
"Leonov","18.1737222298433"
"V1504 Orionis","18.1779936496028"
"2MASS J05345805-0529405","18.2022867296255"
"V852 Orionis","18.2708303639298"
"2MASS J05350171-0527099","18.297161878622"
"Gordon Cooper","18.3005240276747"
"2MASS J05341634-0449271","18.3179652680777"
"V1429 Orionis","18.3288642753718"
"V1227 Orionis","18.333339251893"
"MM Orionis","18.3650057854606"
"V748 Orionis","18.4018192884562"
"2MASS J05343025-0622010","18.4496781814751"
"Yeliseyev.2","18.4501545555857"
"2MASS J05362109-0617172","18.459970417433"
"2MASS J05370016-0514116","18.4771025951717"
"V2498 Orionis","18.5042224910965"
"Gagarin","18.5110028513449"
"2MASS J05342153-0510535","18.5461839066693"
"AZ Orionis","18.5637888862296"
"2MASS J05344110-0547394","18.6396230346807"
"V933 Orionis","18.6929601137032"
"WZ Orionis","18.8441905006556"
"V427 Orionis","18.8487762782495"
"V2037 Orionis","18.8785696127911"
"2MASS J05360962-0603316","18.8924277985917"
"2MASS J05354669-0549262","18.9160356906515"
"V2185 Orionis","18.9275448255974"
"Parenago 1726","18.9707319804746"
"H97b 20204","18.9943967889217"
"Belyayev","19.0223193331544"
"2MASS J05352130-0451499","19.0400738985567"
"Huygens","19.0418433161026"
"Parenago 1232","19.0628842174394"
"V1920 Orionis","19.156555870315"
"BD-05 1290","19.1649144353034"
"Haro 4-341","19.1660099525175"
"2MASS J05360680-0506156","19.2052544079739"
"BD-06 1250","19.2521052014449"
"OO Orionis","19.3525071050239"
"2MASS J05342783-0543315","19.4051680455233"
"V1498 Orionis","19.5320999815048"
"2MASS J05360660-0541543","19.5508901251963"
"2MASS J05351547-0527227","19.5517392528772"
"2MASS J05351111-0620142","19.6058076934489"
"V1577 Orionis","19.615792027726"
